threshold,accuracy,precision_anomaly,recall_anomaly,f1_anomaly,precision_normal,recall_normal,f1_normal,specificity,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,tn,fp,fn,tp
0.001,0.8770172509738453,0.47743467933491684,0.995049504950495,0.6452648475120385,0.9992732558139535,0.8620689655172413,0.9256142712891282,0.8620689655172413,0.9285592352338682,0.7383539675744352,0.9285592352338682,0.7854395594005834,0.9406136050355645,0.8770172509738453,0.8941003126898116,1375,220,1,201
0.002,0.9332220367278798,0.628125,0.995049504950495,0.7701149425287357,0.999322951929587,0.9253918495297806,0.9609375,0.9253918495297806,0.9602206772401378,0.8137239759647935,0.9602206772401378,0.8655262212643678,0.9575967492085092,0.9332220367278798,0.9394872180805813,1476,119,1,201
0.004,0.9565943238731218,0.748,0.9257425742574258,0.827433628318584,0.9903038138332256,0.9605015673981191,0.9751750477402928,0.9605015673981191,0.9431220708277724,0.8691519069166128,0.9431220708277724,0.9013043380294384,0.9630665459454618,0.9565943238731218,0.9585674980891047,1532,63,15,187
0.005,0.9643850862548692,0.8108108108108109,0.8910891089108911,0.8490566037735849,0.986031746031746,0.9736677115987461,0.9798107255520504,0.9736677115987461,0.9323784102548186,0.8984212784212784,0.9323784102548186,0.9144336646628177,0.9663352357843176,0.9643850862548692,0.9651127107500193,1553,42,22,180
0.0055,0.9654980523094046,0.8240740740740741,0.8811881188118812,0.8516746411483254,0.9848197343453511,0.9761755485893417,0.980478589420655,0.9761755485893417,0.9286818337006115,0.9044469042097125,0.9286818337006115,0.9160766152844901,0.9667503835524752,0.9654980523094046,0.965999792786815,1557,38,24,178
0.0056,0.9654980523094046,0.8240740740740741,0.8811881188118812,0.8516746411483254,0.9848197343453511,0.9761755485893417,0.980478589420655,0.9761755485893417,0.9286818337006115,0.9044469042097125,0.9286818337006115,0.9160766152844901,0.9667503835524752,0.9654980523094046,0.965999792786815,1557,38,24,178
0.0057,0.9666110183639399,0.8317757009345794,0.8811881188118812,0.8557692307692306,0.9848389134554643,0.9774294670846395,0.9811202013845185,0.9774294670846395,0.9293087929482604,0.9083073071950218,0.9293087929482604,0.9184447160768745,0.9676331433223431,0.9666110183639399,0.9670295524895335,1559,36,24,178
0.0058,0.9688369504730105,0.8476190476190476,0.8811881188118812,0.8640776699029127,0.9848771266540642,0.9799373040752352,0.9824010056568195,0.9799373040752352,0.9305627114435582,0.9162480871365559,0.9305627114435582,0.9232393377798661,0.9694480048037173,0.9688369504730105,0.9691003301853175,1563,32,24,178
0.0059,0.9693934335002783,0.855072463768116,0.8762376237623762,0.8655256723716381,0.9842767295597484,0.9811912225705329,0.9827315541601256,0.9811912225705329,0.9287144231664546,0.9196745966639321,0.9287144231664546,0.9241286132658819,0.9697529334050965,0.9693934335002783,0.9695564912100563,1565,30,25,177
