epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.061868831515312195,0.19308306276798248,0.013705900870263577,0.09230484813451767,0.0010000000474974513
2,0.017419742420315742,0.10443728417158127,0.009611316956579685,0.07614251971244812,0.0010000000474974513
3,0.010388624854385853,0.07999828457832336,0.0028944085352122784,0.041932642459869385,0.0010000000474974513
4,0.006970993243157864,0.06476166844367981,0.0036133872345089912,0.05141637101769447,0.0010000000474974513
5,0.005911750253289938,0.05977138131856918,0.0011711879633367062,0.024882130324840546,0.0010000000474974513
6,0.005224116146564484,0.056225281208753586,0.0012778029777109623,0.025241943076252937,0.0010000000474974513
7,0.004467574879527092,0.05117383226752281,0.0014072423800826073,0.03020680882036686,0.0010000000474974513
8,0.004454183857887983,0.051312439143657684,0.001006624079309404,0.023772556334733963,0.0010000000474974513
9,0.003701107343658805,0.04690961167216301,0.000405074650188908,0.01203123852610588,0.0010000000474974513
10,0.0035186929162591696,0.04546026885509491,0.0008525586454197764,0.021806757897138596,0.0010000000474974513
11,0.0030116497073322535,0.042367029935121536,0.0007490628049708903,0.021988727152347565,0.0010000000474974513
12,0.00290478253737092,0.041699573397636414,0.0004149969026912004,0.01456008106470108,0.0010000000474974513
13,0.002913273870944977,0.041616734117269516,0.0015100332675501704,0.03400292247533798,0.0010000000474974513
14,0.002783478470519185,0.040079765021800995,0.0008070747717283666,0.024966081604361534,0.0010000000474974513
15,0.0025585577823221684,0.03900127112865448,0.0005330591811798513,0.020307570695877075,0.0005000000237487257
16,0.002566159702837467,0.03875424712896347,0.0008831113809719682,0.025724373757839203,0.0005000000237487257
17,0.002248937962576747,0.03599485009908676,0.0006820603739470243,0.02261757291853428,0.0005000000237487257
18,0.002118300646543503,0.0358370803296566,0.0005669208476319909,0.019059835001826286,0.0005000000237487257
19,0.0022246765438467264,0.03631797805428505,0.0005402165115810931,0.019182732328772545,0.0005000000237487257
20,0.002163129160180688,0.03561661019921303,0.0008198423311114311,0.025636300444602966,0.0002500000118743628
21,0.0022758259437978268,0.03648122027516365,0.00041945307748392224,0.01767781376838684,0.0002500000118743628
22,0.0021178906317800283,0.03532228246331215,0.0006359444232657552,0.02135608159005642,0.0002500000118743628
23,0.0020913647022098303,0.034576691687107086,0.0006778513779863715,0.022186899557709694,0.0002500000118743628
24,0.002024903194978833,0.03474796563386917,0.0005334295565262437,0.017809178680181503,0.0002500000118743628
25,0.0020282657351344824,0.0345550999045372,0.0004413509159348905,0.01744917407631874,0.0001250000059371814
26,0.0021184750366955996,0.035153355449438095,0.00038013310404494405,0.01615200750529766,0.0001250000059371814
27,0.002048523398116231,0.03489226847887039,0.0002735177695285529,0.012701745145022869,0.0001250000059371814
28,0.0019567476119846106,0.03411300480365753,0.0002551346260588616,0.012618507258594036,0.0001250000059371814
29,0.002120023826137185,0.03514235094189644,0.0002365231775911525,0.011943809688091278,0.0001250000059371814
30,0.002113046357408166,0.03486563265323639,0.00036185418139211833,0.016285469755530357,0.0001250000059371814
31,0.002028427552431822,0.03426871821284294,0.00029442142113111913,0.013288464397192001,0.0001250000059371814
32,0.001868902356363833,0.033215831965208054,0.0005382033996284008,0.02089678682386875,0.0001250000059371814
33,0.0019861217588186264,0.034231219440698624,0.0005101735587231815,0.01972801983356476,6.25000029685907e-05
