epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.11882124841213226,0.2984497845172882,0.04727500304579735,0.17840081453323364,0.0010000000474974513
2,0.04307529702782631,0.16672250628471375,0.02726442739367485,0.13360437750816345,0.0010000000474974513
3,0.024118918925523758,0.12298423051834106,0.019430676475167274,0.1116584837436676,0.0010000000474974513
4,0.02173277735710144,0.11685498803853989,0.018854405730962753,0.11017618328332901,0.0010000000474974513
5,0.021357040852308273,0.11564833670854568,0.01851995848119259,0.1094164252281189,0.0010000000474974513
6,0.020764676854014397,0.11489339172840118,0.018602998927235603,0.10893256217241287,0.0010000000474974513
7,0.018801582977175713,0.10750268399715424,0.017781926319003105,0.107090525329113,0.0010000000474974513
8,0.01706850528717041,0.10117556154727936,0.016500355675816536,0.10281755030155182,0.0010000000474974513
9,0.017123863101005554,0.10021735727787018,0.016453849151730537,0.10267981886863708,0.0010000000474974513
10,0.016985736787319183,0.1000322625041008,0.016730891540646553,0.1037759855389595,0.0010000000474974513
11,0.016703229397535324,0.09896508604288101,0.017823215574026108,0.107842355966568,0.0010000000474974513
12,0.016609834507107735,0.0990041196346283,0.017686696723103523,0.10738662630319595,0.0010000000474974513
13,0.016844933852553368,0.10022834688425064,0.01710915006697178,0.10547709465026855,0.0010000000474974513
14,0.016680719330906868,0.09903999418020248,0.017391150817275047,0.1065836101770401,0.0005000000237487257
15,0.016888337209820747,0.09934644401073456,0.017406776547431946,0.10655584186315536,0.0005000000237487257
16,0.017251042649149895,0.10121673345565796,0.017571844160556793,0.10714709758758545,0.0005000000237487257
17,0.01628974638879299,0.09774996340274811,0.017540590837597847,0.1070806160569191,0.0005000000237487257
18,0.016385430470108986,0.0982014462351799,0.017608311027288437,0.10735109448432922,0.0005000000237487257
19,0.016499731689691544,0.09791620075702667,0.01725006476044655,0.10612072050571442,0.0002500000118743628
20,0.01645861193537712,0.09841977059841156,0.01702079549431801,0.10532538592815399,0.0002500000118743628
21,0.016085350885987282,0.09758653491735458,0.017126740887761116,0.10574576258659363,0.0002500000118743628
22,0.01624375954270363,0.09778593480587006,0.017092440277338028,0.1056445986032486,0.0002500000118743628
23,0.016268519684672356,0.09737575054168701,0.016941510140895844,0.10513285547494888,0.0002500000118743628
24,0.01595984771847725,0.09677697718143463,0.017211170867085457,0.10601766407489777,0.0001250000059371814
25,0.01662086509168148,0.0984603762626648,0.017526600509881973,0.10703102499246597,0.0001250000059371814
26,0.01607932522892952,0.09700965136289597,0.017190413549542427,0.10593000799417496,0.0001250000059371814
27,0.016132865101099014,0.09736014157533646,0.017063887789845467,0.10552660375833511,0.0001250000059371814
28,0.016946153715252876,0.09955108910799026,0.016825225204229355,0.10471051186323166,0.0001250000059371814
29,0.01616266928613186,0.09789277613162994,0.017139967530965805,0.10577642917633057,6.25000029685907e-05
30,0.016263257712125778,0.09938251972198486,0.017053401097655296,0.10546981543302536,6.25000029685907e-05
31,0.015602399595081806,0.09670259058475494,0.017142973840236664,0.10574252158403397,6.25000029685907e-05
32,0.016045257449150085,0.0970519483089447,0.016779640689492226,0.10456324368715286,6.25000029685907e-05
33,0.015934297814965248,0.09768936038017273,0.01674072816967964,0.1044653058052063,6.25000029685907e-05
34,0.015875965356826782,0.09750140458345413,0.016885746270418167,0.10497414320707321,3.125000148429535e-05
35,0.015313890762627125,0.0956915020942688,0.01685449108481407,0.10488969087600708,3.125000148429535e-05
36,0.016452530398964882,0.09858008474111557,0.01688137650489807,0.10498706996440887,3.125000148429535e-05
37,0.01539681013673544,0.096159927546978,0.01705857180058956,0.10558757185935974,3.125000148429535e-05
38,0.01567031815648079,0.09711291640996933,0.016999486833810806,0.10539771616458893,3.125000148429535e-05
39,0.015215136110782623,0.09523629397153854,0.017005454748868942,0.1054241731762886,1.5625000742147677e-05
