epoch,loss,mae,val_loss,val_mae,learning_rate
1,0.1724783182144165,0.370342880487442,0.08795970678329468,0.24646206200122833,0.0010000000474974513
2,0.07400289922952652,0.22309939563274384,0.06632979214191437,0.20879995822906494,0.0010000000474974513
3,0.056071747094392776,0.19130879640579224,0.05106130987405777,0.18047399818897247,0.0010000000474974513
4,0.04203828424215317,0.16436491906642914,0.03844812139868736,0.15624871850013733,0.0010000000474974513
5,0.03226911276578903,0.14295561611652374,0.029960406944155693,0.13792015612125397,0.0010000000474974513
6,0.027838638052344322,0.13349474966526031,0.02787509560585022,0.1327962428331375,0.0010000000474974513
7,0.026174424216151237,0.1293010711669922,0.026909351348876953,0.13074688613414764,0.0010000000474974513
8,0.025399673730134964,0.12677247822284698,0.0263037271797657,0.12916216254234314,0.0010000000474974513
9,0.02486327849328518,0.12587980926036835,0.025971779599785805,0.12826456129550934,0.0010000000474974513
10,0.024624470621347427,0.1255098134279251,0.025807632133364677,0.12795789539813995,0.0010000000474974513
11,0.024257173761725426,0.12447575479745865,0.025812894105911255,0.12817011773586273,0.0010000000474974513
12,0.02402248978614807,0.123761847615242,0.025671347975730896,0.12795302271842957,0.0010000000474974513
13,0.023594586178660393,0.12214507907629013,0.02458963915705681,0.12487675249576569,0.0010000000474974513
14,0.02222062088549137,0.1177508756518364,0.02555990405380726,0.1282797008752823,0.0010000000474974513
15,0.02216334268450737,0.11837560683488846,0.025677960366010666,0.12858590483665466,0.0010000000474974513
16,0.021806487813591957,0.11657863110303879,0.02677413634955883,0.13197243213653564,0.0010000000474974513
17,0.021509293466806412,0.11565818637609482,0.026374977082014084,0.13064587116241455,0.0010000000474974513
18,0.021492253988981247,0.11596963554620743,0.02614717185497284,0.13050098717212677,0.0010000000474974513
19,0.0215650275349617,0.11588828265666962,0.026787597686052322,0.13167719542980194,0.0005000000237487257
20,0.02155846171081066,0.11604595184326172,0.026095062494277954,0.13023415207862854,0.0005000000237487257
21,0.021443944424390793,0.11561521142721176,0.02665100246667862,0.13187764585018158,0.0005000000237487257
22,0.021522773429751396,0.11588381975889206,0.026052609086036682,0.12992893159389496,0.0005000000237487257
23,0.021349633112549782,0.11531049758195877,0.026021597906947136,0.13000421226024628,0.0005000000237487257
24,0.02138015814125538,0.11561492830514908,0.025992609560489655,0.1300167292356491,0.0002500000118743628
25,0.021122103556990623,0.11476126313209534,0.025891877710819244,0.12969103455543518,0.0002500000118743628
26,0.021164188161492348,0.11485197395086288,0.025968633592128754,0.13004018366336823,0.0002500000118743628
27,0.02155287191271782,0.11652717739343643,0.026018092408776283,0.130089670419693,0.0002500000118743628
28,0.02121678739786148,0.11504527926445007,0.026017138734459877,0.13004803657531738,0.0002500000118743628
29,0.021166140213608742,0.11483517289161682,0.02613629214465618,0.13048560917377472,0.0001250000059371814
30,0.021103056147694588,0.11491834372282028,0.0262121744453907,0.1306956708431244,0.0001250000059371814
31,0.021349305287003517,0.11528398841619492,0.026038510724902153,0.13016793131828308,0.0001250000059371814
32,0.021108822897076607,0.11477477103471756,0.025996873155236244,0.13006281852722168,0.0001250000059371814
33,0.021078575402498245,0.1147884652018547,0.026540301740169525,0.131567120552063,0.0001250000059371814
